TIME             CONTAINER_ID  IMAGE            UID    COMM             PID/host        TID/host        RET              EVENT                     ARGS
03:27:24:961587  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   132884184137728  mmap                      addr: 0x0, length: 49152, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:24:961662  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   132884176039936  mmap                      addr: 0x0, length: 90112, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:24:964161  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   0                close                     fd: 7
03:27:24:968060  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   0                close                     fd: 6
03:27:24:968277  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   132884204376064  mmap                      addr: 0x0, length: 8192, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:24:968362  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   132884175990784  mmap                      addr: 0x0, length: 49152, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:24:968470  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   132884175900672  mmap                      addr: 0x0, length: 90112, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:24:975114  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   0                close                     fd: 8
03:27:24:977467  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   0                close                     fd: 7
03:27:24:977573  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   0                close                     fd: 6
03:27:24:977750  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   0                close                     fd: 5
03:27:24:977983  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   71               write                     fd: 2, buf: 0x78db842437e0, count: 71
03:27:24:978068  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   165              sendto                    sockfd: 4, buf: 0x78db824c2f70, len: 165, flags: 0, dest_addr: map[sa_family:AF_UNSPEC], addrlen: 0
03:27:24:978139  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   69               sendto                    sockfd: 4, buf: 0x78db82530fa0, len: 69, flags: 0, dest_addr: map[sa_family:AF_UNSPEC], addrlen: 0
03:27:24:979185  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   132884166127616  mmap                      addr: 0x0, length: 10000053, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
